subject,group,script,condition,slope,intercept
sub-006,expert,french,fw,0.330456324136723,1.22087621811912e-17
sub-006,expert,french,sfw,0.352532121502195,-1.84639585744442e-19
sub-007,expert,french,fw,0.819714183129884,-4.39159776902043e-18
sub-007,expert,french,sfw,0.599031762834364,4.6915331953038e-18
sub-008,expert,french,fw,0.746369159671695,6.91888428461266e-18
sub-008,expert,french,sfw,0.31048982435414,5.43109572066143e-18
sub-009,expert,french,fw,0.57708428268575,4.33278326864278e-17
sub-009,expert,french,sfw,-0.286788445254218,1.21442422388833e-18
sub-010,control,french,fw,0.239020813637654,2.41127106610162e-17
sub-010,control,french,sfw,0.129771025604052,6.86402567697947e-18
sub-011,control,french,fw,0.374277461305075,1.72754195717624e-18
sub-011,control,french,sfw,0.0700537591690011,-1.06912056778921e-17
sub-013,expert,french,fw,0.279741010247161,1.55278136922975e-17
sub-013,expert,french,sfw,-0.0165822478682815,-7.54842959197073e-19
sub-018,control,french,fw,0.988145125965723,2.08803051874926e-17
sub-018,control,french,sfw,0.919594355052506,-9.37576374108845e-19
sub-019,control,french,fw,0.840984177329012,-1.00309554430076e-17
sub-019,control,french,sfw,0.964069427862001,-5.74973910186275e-19
sub-020,control,french,fw,0.623217845251544,1.46074187242204e-18
sub-020,control,french,sfw,0.298596152504439,-2.16630807151181e-18
sub-021,control,french,fw,0.669189579134494,-5.67781930195751e-18
sub-021,control,french,sfw,0.343567309605933,-1.84625099558355e-18
sub-022,control,french,fw,0.841183774571175,5.41900617086327e-18
sub-022,control,french,sfw,0.548439988069095,-8.87323293488197e-18
sub-023,control,french,fw,0.538548647721963,1.25081540114417e-17
sub-023,control,french,sfw,0.926535379956269,6.76974150498845e-18
sub-024,control,french,fw,0.487882496478401,-1.02926171065895e-17
sub-024,control,french,sfw,0.295114125036138,8.19642057520133e-19
sub-027,control,french,fw,0.845668576590418,7.75382301087062e-18
sub-027,control,french,sfw,0.578999498206306,-3.23109946820603e-18
sub-006,expert,braille,bw,0.0817017314925845,2.7435463149523e-18
sub-006,expert,braille,sbw,-0.0675534347956868,-1.1227705632278e-19
sub-007,expert,braille,bw,0.227576930744292,3.30483665537514e-18
sub-007,expert,braille,sbw,0.520524442148701,1.26580924026832e-17
sub-008,expert,braille,bw,0.258220098872852,-6.141906032599e-19
sub-008,expert,braille,sbw,0.233087721555331,-8.82169713162215e-18
sub-009,expert,braille,bw,-0.0941364720971154,1.02495003399114e-17
sub-009,expert,braille,sbw,-0.22067038061152,-3.07162207271703e-18
sub-013,expert,braille,bw,0.23056658828594,-1.77363377195273e-17
sub-013,expert,braille,sbw,-0.232939857204136,4.21376031380491e-18
