subject,script,hemi,area,done,voxels,enough
sub-006,french,L,AngG,created,35,0
sub-006,french,L,AntTemp,created,108,1
sub-006,french,L,IFG,created,174,1
sub-006,french,L,IFGorb,created,62,0
sub-006,french,L,MFG,created,26,0
sub-006,french,L,PosTemp,created,485,1
sub-006,french,R,AngG,created,66,0
sub-006,french,R,AntTemp,created,101,1
sub-006,french,R,IFG,created,42,0
sub-006,french,R,IFGorb,created,26,0
sub-006,french,R,MFG,created,1,0
sub-006,french,R,PosTemp,created,640,1
sub-007,french,L,AngG,created,27,0
sub-007,french,L,AntTemp,created,3,0
sub-007,french,L,IFG,skipped,0,0
sub-007,french,L,IFGorb,created,9,0
sub-007,french,L,MFG,skipped,0,0
sub-007,french,L,PosTemp,created,137,1
sub-007,french,R,AngG,created,70,0
sub-007,french,R,AntTemp,skipped,0,0
sub-007,french,R,IFG,skipped,0,0
sub-007,french,R,IFGorb,skipped,0,0
sub-007,french,R,MFG,skipped,0,0
sub-007,french,R,PosTemp,created,63,0
sub-008,french,L,AngG,created,126,1
sub-008,french,L,AntTemp,created,1,0
sub-008,french,L,IFG,created,73,0
sub-008,french,L,IFGorb,created,42,0
sub-008,french,L,MFG,created,27,0
sub-008,french,L,PosTemp,created,217,1
sub-008,french,R,AngG,created,101,1
sub-008,french,R,AntTemp,created,47,0
sub-008,french,R,IFG,created,27,0
sub-008,french,R,IFGorb,created,25,0
sub-008,french,R,MFG,created,5,0
sub-008,french,R,PosTemp,created,335,1
sub-009,french,L,AngG,created,52,0
sub-009,french,L,AntTemp,skipped,0,0
sub-009,french,L,IFG,created,139,1
sub-009,french,L,IFGorb,created,8,0
sub-009,french,L,MFG,created,65,0
sub-009,french,L,PosTemp,created,104,1
sub-009,french,R,AngG,created,75,0
sub-009,french,R,AntTemp,created,3,0
sub-009,french,R,IFG,created,2,0
sub-009,french,R,IFGorb,skipped,0,0
sub-009,french,R,MFG,skipped,0,0
sub-009,french,R,PosTemp,created,55,0
sub-010,french,L,AngG,created,2,0
sub-010,french,L,AntTemp,created,4,0
sub-010,french,L,IFG,created,14,0
sub-010,french,L,IFGorb,skipped,0,0
sub-010,french,L,MFG,created,3,0
sub-010,french,L,PosTemp,created,84,1
sub-010,french,R,AngG,created,18,0
sub-010,french,R,AntTemp,created,23,0
sub-010,french,R,IFG,skipped,0,0
sub-010,french,R,IFGorb,skipped,0,0
sub-010,french,R,MFG,skipped,0,0
sub-010,french,R,PosTemp,created,30,0
sub-011,french,L,AngG,skipped,0,0
sub-011,french,L,AntTemp,skipped,0,0
sub-011,french,L,IFG,created,45,0
sub-011,french,L,IFGorb,created,10,0
sub-011,french,L,MFG,created,28,0
sub-011,french,L,PosTemp,created,82,1
sub-011,french,R,AngG,created,2,0
sub-011,french,R,AntTemp,created,1,0
sub-011,french,R,IFG,skipped,0,0
sub-011,french,R,IFGorb,skipped,0,0
sub-011,french,R,MFG,skipped,0,0
sub-011,french,R,PosTemp,created,1,0
sub-012,french,L,AngG,skipped,0,0
sub-012,french,L,AntTemp,created,1,0
sub-012,french,L,IFG,created,2,0
sub-012,french,L,IFGorb,skipped,0,0
sub-012,french,L,MFG,skipped,0,0
sub-012,french,L,PosTemp,created,9,0
sub-012,french,R,AngG,created,34,0
sub-012,french,R,AntTemp,skipped,0,0
sub-012,french,R,IFG,skipped,0,0
sub-012,french,R,IFGorb,skipped,0,0
sub-012,french,R,MFG,skipped,0,0
sub-012,french,R,PosTemp,skipped,0,0
sub-013,french,L,AngG,created,45,0
sub-013,french,L,AntTemp,created,23,0
sub-013,french,L,IFG,created,40,0
sub-013,french,L,IFGorb,created,5,0
sub-013,french,L,MFG,created,20,0
sub-013,french,L,PosTemp,created,95,1
sub-013,french,R,AngG,created,53,0
sub-013,french,R,AntTemp,created,22,0
sub-013,french,R,IFG,skipped,0,0
sub-013,french,R,IFGorb,skipped,0,0
sub-013,french,R,MFG,created,5,0
sub-013,french,R,PosTemp,created,138,1
sub-018,french,L,AngG,created,1,0
sub-018,french,L,AntTemp,created,84,1
sub-018,french,L,IFG,created,92,1
sub-018,french,L,IFGorb,created,40,0
sub-018,french,L,MFG,created,71,0
sub-018,french,L,PosTemp,created,109,1
sub-018,french,R,AngG,created,37,0
sub-018,french,R,AntTemp,created,108,1
sub-018,french,R,IFG,created,90,1
sub-018,french,R,IFGorb,created,68,0
sub-018,french,R,MFG,created,9,0
sub-018,french,R,PosTemp,created,325,1
sub-019,french,L,AngG,created,200,1
sub-019,french,L,AntTemp,created,129,1
sub-019,french,L,IFG,created,216,1
sub-019,french,L,IFGorb,created,67,0
sub-019,french,L,MFG,created,81,1
sub-019,french,L,PosTemp,created,466,1
sub-019,french,R,AngG,created,176,1
sub-019,french,R,AntTemp,created,51,0
sub-019,french,R,IFG,created,2,0
sub-019,french,R,IFGorb,skipped,0,0
sub-019,french,R,MFG,skipped,0,0
sub-019,french,R,PosTemp,created,269,1
sub-020,french,L,AngG,created,172,1
sub-020,french,L,AntTemp,created,55,0
sub-020,french,L,IFG,created,176,1
sub-020,french,L,IFGorb,created,53,0
sub-020,french,L,MFG,created,71,0
sub-020,french,L,PosTemp,created,335,1
sub-020,french,R,AngG,created,75,0
sub-020,french,R,AntTemp,created,202,1
sub-020,french,R,IFG,skipped,0,0
sub-020,french,R,IFGorb,created,2,0
sub-020,french,R,MFG,skipped,0,0
sub-020,french,R,PosTemp,created,432,1
sub-021,french,L,AngG,created,49,0
sub-021,french,L,AntTemp,created,131,1
sub-021,french,L,IFG,created,99,1
sub-021,french,L,IFGorb,created,52,0
sub-021,french,L,MFG,created,74,0
sub-021,french,L,PosTemp,created,561,1
sub-021,french,R,AngG,skipped,0,0
sub-021,french,R,AntTemp,created,65,0
sub-021,french,R,IFG,created,3,0
sub-021,french,R,IFGorb,skipped,0,0
sub-021,french,R,MFG,created,2,0
sub-021,french,R,PosTemp,created,383,1
sub-022,french,L,AngG,created,51,0
sub-022,french,L,AntTemp,skipped,0,0
sub-022,french,L,IFG,created,83,1
sub-022,french,L,IFGorb,created,10,0
sub-022,french,L,MFG,skipped,0,0
sub-022,french,L,PosTemp,created,282,1
sub-022,french,R,AngG,created,8,0
sub-022,french,R,AntTemp,skipped,0,0
sub-022,french,R,IFG,created,18,0
sub-022,french,R,IFGorb,skipped,0,0
sub-022,french,R,MFG,created,24,0
sub-022,french,R,PosTemp,created,160,1
sub-023,french,L,AngG,skipped,0,0
sub-023,french,L,AntTemp,created,29,0
sub-023,french,L,IFG,created,37,0
