subject,trial_type,response_type,stim,run
sub-006,fpw,correct,répoir,1
sub-006,fnw,correct,dgkbsl,1
sub-006,fpw,correct,formin,1
sub-006,fpw,correct,toinue,1
sub-006,frw_nli,correct,rasoir,1
sub-006,fnw,correct,ghzntj,1
sub-006,bnw,correct,khsryz,2
sub-006,brw_liv,correct,poulet,2
sub-006,bpw,correct,toinue,2
sub-006,bnw,correct,xydchb,2
sub-006,bfs,correct,ybdckg,2
sub-006,bpw,correct,boumon,2
sub-006,frw_nli,correct,violon,3
sub-006,fnw,correct,vskrtf,3
sub-006,fpw,correct,boumon,3
sub-006,fnw,correct,ybdckg,3
sub-006,ffs,correct,vskrtf,3
sub-006,fpw,correct,cemére,3
sub-006,brw_nli,correct,stéréo,4
sub-006,bnw,correct,tlsncq,4
sub-006,bpw,correct,catoir,4
sub-006,bfs,miss,ghzntj,4
sub-006,bpw,correct,voilon,4
sub-006,bfs,correct,mkhbsl,4
sub-006,fnw,correct,htcdyk,5
sub-006,frw_liv,correct,renard,5
sub-006,ffs,correct,fhydgk,5
sub-006,frw_mix,correct,montre,5
sub-006,frw_nli,correct,bouton,5
sub-006,fnw,correct,mkhbsl,5
sub-006,brw_liv,correct,castor,6
sub-006,bfs,correct,fhydgk,6
sub-006,bfs,correct,dgkbsl,6
sub-006,brw_nli,correct,montre,6
sub-006,bnw,miss,tlsncq,6
sub-006,bnw,correct,pchlzb,6
sub-006,brw_mix,correct,renard,6
sub-006,frw_liv,correct,poulet,7
sub-006,ffs,correct,tlsncq,7
sub-006,fnw,correct,fhydgk,7
sub-006,frw_mix,correct,fourmi,7
sub-006,ffs,correct,khsryz,7
sub-006,ffs,correct,dgkbsl,7
sub-006,bnw,correct,dgkbsl,8
sub-006,bpw,correct,cemére,8
sub-006,bfs,miss,lkmftb,8
sub-006,bfs,correct,htcdyk,8
sub-006,bpw,correct,fanvon,8
sub-006,bpw,correct,sivéro,8
sub-006,ffs,correct,ybdckg,9
sub-006,fpw,correct,moitre,9
sub-006,fpw,correct,catoir,9
sub-006,ffs,correct,xydchb,9
sub-006,frw_nli,correct,stéréo,9
sub-006,fnw,correct,ghzntj,9
sub-006,bnw,correct,htcdyk,10
sub-006,brw_nli,correct,bouton,10
sub-006,brw_mix,correct,tortue,10
sub-006,bnw,correct,vskrtf,10
sub-006,bpw,correct,moitre,10
sub-006,brw_liv,correct,souris,10
sub-006,fpw,correct,voilon,11
sub-006,fnw,correct,khsryz,11
sub-006,frw_mix,correct,tortue,11
sub-006,ffs,correct,ghzntj,11
sub-006,fpw,correct,poumer,11
sub-006,ffs,correct,mkhbsl,11
sub-006,fnw,false_positive,ybdckg,11
sub-006,bfs,correct,vskrtf,12
sub-006,bpw,correct,poumer,12
sub-006,bnw,correct,ybdckg,12
