subject,group,area,condition,mean_activation
sub-006,expert,VWFA,bw,9.70331376190333
sub-006,expert,VWFA,sbw,8.9390722115257
sub-007,expert,VWFA,bw,6.70887347987328
sub-007,expert,VWFA,sbw,2.88013641047024
sub-008,expert,VWFA,bw,2.97632568899323
sub-008,expert,VWFA,sbw,2.06037224601297
sub-009,expert,VWFA,bw,8.51613036278756
sub-009,expert,VWFA,sbw,6.43473618790027
sub-012,expert,VWFA,bw,7.55431300230163
sub-012,expert,VWFA,sbw,4.48876772925472
sub-013,expert,VWFA,bw,11.26940579114
sub-013,expert,VWFA,sbw,8.0603728773087
sub-010,control,VWFA,bw,7.68728406542152
sub-010,control,VWFA,sbw,5.71327048104212
sub-011,control,VWFA,bw,7.53046081501704
sub-011,control,VWFA,sbw,7.04830835186518
sub-018,control,VWFA,bw,4.25550072650387
sub-018,control,VWFA,sbw,4.36999623620347
sub-019,control,VWFA,bw,0.328502242416143
sub-019,control,VWFA,sbw,0.966462587285787
sub-020,control,VWFA,bw,6.47303610889852
sub-020,control,VWFA,sbw,4.08846908882886
sub-021,control,VWFA,bw,2.01509205952991
sub-021,control,VWFA,sbw,1.00276923810286
sub-022,control,VWFA,bw,2.68130834143103
sub-022,control,VWFA,sbw,3.21826742497491
sub-023,control,VWFA,bw,1.77237392804558
sub-023,control,VWFA,sbw,2.99949175169441
sub-024,control,VWFA,bw,2.60623079578985
sub-024,control,VWFA,sbw,2.65116831297902
sub-026,control,VWFA,bw,11.9347613117482
sub-026,control,VWFA,sbw,10.1233211082987
sub-027,control,VWFA,bw,1.18625297141261
sub-027,control,VWFA,sbw,0.529257246816996
sub-028,control,VWFA,bw,3.51388515982517
sub-028,control,VWFA,sbw,2.93421515198641
sub-006,expert,lLO,bw,7.29046945927436
sub-006,expert,lLO,sbw,7.57972830481697
sub-007,expert,lLO,bw,9.85223385352123
sub-007,expert,lLO,sbw,7.75064373808571
sub-008,expert,lLO,bw,12.9618623773535
sub-008,expert,lLO,sbw,13.8267435527348
sub-009,expert,lLO,bw,6.71291041651437
sub-009,expert,lLO,sbw,6.25287349273761
sub-012,expert,lLO,bw,10.7511551193163
sub-012,expert,lLO,sbw,8.55478945666668
sub-013,expert,lLO,bw,11.277775543599
sub-013,expert,lLO,sbw,10.3097610195722
sub-010,control,lLO,bw,6.44676278841377
sub-010,control,lLO,sbw,5.08823881408956
sub-011,control,lLO,bw,7.19007027009907
sub-011,control,lLO,sbw,7.16806389870851
sub-018,control,lLO,bw,9.77176742953854
sub-018,control,lLO,sbw,10.0120825967589
sub-019,control,lLO,bw,12.1008491144113
sub-019,control,lLO,sbw,12.9096857267069
sub-020,control,lLO,bw,12.8072688695861
sub-020,control,lLO,sbw,11.7180998935932
sub-021,control,lLO,bw,3.8424459380262
sub-021,control,lLO,sbw,3.66289427306722
sub-022,control,lLO,bw,5.95299980211258
sub-022,control,lLO,sbw,6.51797469139099
sub-026,control,lLO,bw,10.6032617034334
sub-026,control,lLO,sbw,8.54356945500229
sub-027,control,lLO,bw,8.51427978608757
sub-027,control,lLO,sbw,7.78232501357794
sub-028,control,lLO,bw,13.4423075581456
sub-028,control,lLO,sbw,13.2320686761323
sub-006,expert,rLO,bw,11.3822609519958
sub-006,expert,rLO,sbw,10.1135755519867
sub-007,expert,rLO,bw,12.0738211750095
sub-007,expert,rLO,sbw,10.1465458520758
sub-008,expert,rLO,bw,8.84346391664487
sub-008,expert,rLO,sbw,9.40528469776439
sub-009,expert,rLO,bw,9.82498311466641
sub-009,expert,rLO,sbw,9.30409109327528
sub-012,expert,rLO,bw,12.9660668332353
sub-012,expert,rLO,sbw,11.3930703432132
sub-013,expert,rLO,bw,11.7620647517118
sub-013,expert,rLO,sbw,11.9393647287831
sub-010,control,rLO,bw,8.8322370706066
sub-010,control,rLO,sbw,6.94546733402437
sub-011,control,rLO,bw,7.17412388870139
sub-011,control,rLO,sbw,6.82992138737947
sub-018,control,rLO,bw,8.85362161543125
sub-018,control,rLO,sbw,9.23080113644783
sub-019,control,rLO,bw,14.1332842427857
sub-019,control,rLO,sbw,14.131543327351
sub-020,control,rLO,bw,11.1396486337206
sub-020,control,rLO,sbw,10.3934240594374
sub-021,control,rLO,bw,5.00308551345811
