subject,task,run,mask,tSNR
sub-006,visualLocalizer,001,whole-brain,16.9698180902314
sub-006,visualLocalizer,001,vwfa-roi,74.1104996869083
sub-006,visualLocalizer,002,whole-brain,16.0374632267252
sub-006,visualLocalizer,002,vwfa-roi,77.691805347559
sub-006,wordsDecoding,001,whole-brain,18.2276321195478
sub-006,wordsDecoding,001,vwfa-roi,83.6990546125745
sub-006,wordsDecoding,002,whole-brain,16.1744437803058
sub-006,wordsDecoding,002,vwfa-roi,76.0924644532002
sub-006,wordsDecoding,003,whole-brain,16.8143648652742
sub-006,wordsDecoding,003,vwfa-roi,70.1593640446035
sub-006,wordsDecoding,004,whole-brain,13.2814023242414
sub-006,wordsDecoding,004,vwfa-roi,59.8656410823728
sub-006,wordsDecoding,005,whole-brain,15.6994082256874
sub-006,wordsDecoding,005,vwfa-roi,68.6437935725088
sub-006,wordsDecoding,006,whole-brain,12.1175091526919
sub-006,wordsDecoding,006,vwfa-roi,51.409351819658
sub-006,wordsDecoding,007,whole-brain,17.2905408943351
sub-006,wordsDecoding,007,vwfa-roi,92.169305340844
sub-006,wordsDecoding,008,whole-brain,15.8037856967962
sub-006,wordsDecoding,008,vwfa-roi,88.5199506364215
sub-006,wordsDecoding,009,whole-brain,18.9585382003225
sub-006,wordsDecoding,009,vwfa-roi,70.8313182995303
sub-006,wordsDecoding,010,whole-brain,16.2707362120441
sub-006,wordsDecoding,010,vwfa-roi,64.388306698959
sub-006,wordsDecoding,011,whole-brain,16.0227423351504
sub-006,wordsDecoding,011,vwfa-roi,66.186302850191
sub-006,wordsDecoding,012,whole-brain,16.1699757253016
sub-006,wordsDecoding,012,vwfa-roi,75.0841392441295
sub-007,visualLocalizer,001,whole-brain,17.247267797211
sub-007,visualLocalizer,001,vwfa-roi,85.0331203157845
sub-007,visualLocalizer,002,whole-brain,15.9635996985118
sub-007,visualLocalizer,002,vwfa-roi,83.1814727031427
sub-007,wordsDecoding,001,whole-brain,17.0387026987308
sub-007,wordsDecoding,001,vwfa-roi,85.821551620995
sub-007,wordsDecoding,002,whole-brain,16.6220830252922
sub-007,wordsDecoding,002,vwfa-roi,87.7109480152484
sub-007,wordsDecoding,003,whole-brain,15.9327524011074
sub-007,wordsDecoding,003,vwfa-roi,82.3251283681062
sub-007,wordsDecoding,004,whole-brain,16.827751698424
sub-007,wordsDecoding,004,vwfa-roi,83.9731767274458
sub-007,wordsDecoding,005,whole-brain,16.1769016726894
sub-007,wordsDecoding,005,vwfa-roi,79.2183641961316
sub-007,wordsDecoding,006,whole-brain,16.7363727678381
sub-007,wordsDecoding,006,vwfa-roi,88.9623990025061
sub-007,wordsDecoding,007,whole-brain,15.7900552924543
sub-007,wordsDecoding,007,vwfa-roi,82.8698675573466
sub-007,wordsDecoding,008,whole-brain,14.350375012733
sub-007,wordsDecoding,008,vwfa-roi,81.9939965234415
sub-007,wordsDecoding,009,whole-brain,14.9952083239142
