subject,group,contrast,condition,mask,peak,mean
sub-006,expert,49,frw,lLO,4.19921016693115,-0.147057064477019
sub-006,expert,50,fpw,lLO,3.5407919883728,0.36381904094627
sub-006,expert,51,fnw,lLO,5.63562631607056,2.05720674653799
sub-006,expert,52,ffs,lLO,11.6321411132812,2.90033160189265
sub-006,expert,53,brw,lLO,5.76747989654541,0.673065634125746
sub-006,expert,54,bpw,lLO,6.56229686737061,1.12734151357099
sub-006,expert,55,bnw,lLO,9.47666168212891,2.38462772065153
sub-006,expert,56,bfs,lLO,9.0784912109375,2.71356929492271
sub-006,expert,49,frw,rLO,7.03955030441284,2.00622671741247
sub-006,expert,50,fpw,rLO,8.14404964447021,2.499886748299
sub-006,expert,51,fnw,rLO,10.6150531768799,4.74454941105843
sub-006,expert,52,ffs,rLO,14.3076210021973,5.18511200004816
sub-006,expert,53,brw,rLO,10.2504901885986,2.9829998671785
sub-006,expert,54,bpw,rLO,9.40182209014893,3.42682321071625
sub-006,expert,55,bnw,rLO,11.8391904830933,5.06077974390984
sub-006,expert,56,bfs,rLO,10.2594127655029,4.03707321497798
sub-007,expert,49,frw,lLO,7.44200801849365,0.626306157476634
sub-007,expert,50,fpw,lLO,9.75402927398682,3.04576052399942
sub-007,expert,51,fnw,lLO,13.4323749542236,2.87185878565983
sub-007,expert,52,ffs,lLO,17.8842296600342,7.34054959697437
sub-007,expert,53,brw,lLO,13.9423055648804,5.11829389730775
sub-007,expert,54,bpw,lLO,15.4216003417969,6.49777550790223
sub-007,expert,55,bnw,lLO,15.3412733078003,7.29903215867809
sub-007,expert,56,bfs,lLO,13.0370073318481,5.95046486847008
sub-007,expert,49,frw,rLO,5.30545616149902,0.705289440257336
sub-007,expert,50,fpw,rLO,7.52689504623413,1.83540501845514
sub-007,expert,51,fnw,rLO,8.60854339599609,1.55978511311392
sub-007,expert,52,ffs,rLO,18.71848487854,5.28868173885701
sub-007,expert,53,brw,rLO,14.4299821853638,3.3369742581593
sub-007,expert,54,bpw,rLO,16.1247596740723,4.16088610398236
sub-007,expert,55,bnw,rLO,16.641471862793,3.88362820474292
sub-007,expert,56,bfs,rLO,16.6553859710693,4.00379775008604
sub-008,expert,49,frw,lLO,6.98860597610474,1.92766006899203
sub-008,expert,50,fpw,lLO,9.8818416595459,2.47334334596835
sub-008,expert,51,fnw,lLO,13.0392837524414,4.0283561964109
sub-008,expert,52,ffs,lLO,28.3358726501465,13.0295876752247
sub-008,expert,53,brw,lLO,16.9782161712646,6.94448983283726
sub-008,expert,54,bpw,lLO,19.7305812835693,7.97117140497101
sub-008,expert,55,bnw,lLO,20.091064453125,7.56069343359946
sub-008,expert,56,bfs,lLO,21.8272342681885,10.0876361453658
sub-008,expert,49,frw,rLO,6.207275390625,0.242787217669119
sub-008,expert,50,fpw,rLO,7.37388229370117,0.952640357488227
sub-008,expert,51,fnw,rLO,9.22438335418701,2.05895804011515
sub-008,expert,52,ffs,rLO,24.5502777099609,8.7469572128258
sub-008,expert,53,brw,rLO,14.1392164230347,3.63892226401612
sub-008,expert,54,bpw,rLO,17.1542167663574,4.43827215082526
sub-008,expert,55,bnw,rLO,18.0401172637939,4.30481699833246
sub-008,expert,56,bfs,rLO,20.1785888671875,5.95866601794053
sub-009,expert,49,frw,lLO,7.63650989532471,1.76662731242128
sub-009,expert,50,fpw,lLO,9.02375888824463,1.6700346085122
sub-009,expert,51,fnw,lLO,10.6905355453491,2.35503150618007
sub-009,expert,52,ffs,lLO,18.3327522277832,5.16229401970672
sub-009,expert,53,brw,lLO,11.0657291412354,2.8935423117788
sub-009,expert,54,bpw,lLO,12.6716403961182,3.6386568146043
sub-009,expert,55,bnw,lLO,9.14953231811523,2.54530850855648
sub-009,expert,56,bfs,lLO,11.9837837219238,4.1233162387859
sub-009,expert,49,frw,rLO,8.41267871856689,2.99152562421126
sub-009,expert,50,fpw,rLO,9.34185409545898,3.83876836811089
sub-009,expert,51,fnw,rLO,9.58107471466064,4.16402233433392
sub-009,expert,52,ffs,rLO,22.2584934234619,10.4710643788179
sub-009,expert,53,brw,rLO,14.0712070465088,5.71793457534578
sub-009,expert,54,bpw,rLO,14.2164182662964,6.49383074575
sub-009,expert,55,bnw,rLO,13.7487697601318,5.45967617200481
sub-009,expert,56,bfs,rLO,16.3616981506348,7.87706668641832
sub-010,control,49,frw,lLO,5.71418952941895,-1.22681020013988
sub-010,control,50,fpw,lLO,6.80080652236938,-1.11348554113935
