subject,group,contrast,condition,mask,peak,mean
sub-006,expert,1,frw,v1,5.87014675140381,-2.23960258258957
sub-006,expert,2,fpw,v1,6.50478553771973,-1.21024792128158
sub-006,expert,3,fnw,v1,9.68887519836426,-0.325447958927439
sub-006,expert,4,ffs,v1,7.6275897026062,-3.33799277592234
sub-006,expert,5,brw,v1,7.83428335189819,-3.18022287314985
sub-006,expert,6,bpw,v1,8.37281513214111,-3.44486661368511
sub-006,expert,7,bnw,v1,8.55763912200928,-2.61581023153776
sub-006,expert,8,bfs,v1,6.88518190383911,-2.80561401546611
sub-007,expert,1,frw,v1,10.9490938186646,-0.106088581033043
sub-007,expert,2,fpw,v1,13.5258817672729,0.572390744062228
sub-007,expert,3,fnw,v1,12.9493761062622,-0.107985801981745
sub-007,expert,4,ffs,v1,13.4590721130371,-0.386991741528119
sub-007,expert,5,brw,v1,14.13707447052,-3.40591834221221
sub-007,expert,6,bpw,v1,15.2720365524292,-3.38878887664089
sub-007,expert,7,bnw,v1,15.7095317840576,-2.83770852741666
sub-007,expert,8,bfs,v1,14.3639669418335,-3.58505244350745
sub-008,expert,1,frw,v1,21.1382217407227,0.983782514494574
sub-008,expert,2,fpw,v1,20.5707721710205,-0.998142643585058
sub-008,expert,3,fnw,v1,22.8464965820312,-0.00330121217533435
sub-008,expert,4,ffs,v1,21.3147983551025,-1.82096213234351
sub-008,expert,5,brw,v1,19.730447769165,0.0437723132165155
sub-008,expert,6,bpw,v1,23.2049026489258,-0.933704781683482
sub-008,expert,7,bnw,v1,23.2657775878906,-1.7752984409972
sub-008,expert,8,bfs,v1,19.3331832885742,-5.00080705837367
sub-009,expert,1,frw,v1,15.0263109207153,0.413736636054084
sub-009,expert,2,fpw,v1,16.6645812988281,-0.515493455045564
sub-009,expert,3,fnw,v1,17.1219329833984,1.49141151178973
sub-009,expert,4,ffs,v1,19.2137680053711,0.542237846227943
sub-009,expert,5,brw,v1,18.1428928375244,-1.73733807049512
sub-009,expert,6,bpw,v1,17.2804298400879,-2.48345555116153
sub-009,expert,7,bnw,v1,17.9658870697021,-2.97349215969095
sub-009,expert,8,bfs,v1,14.7740640640259,-1.11753913376377
sub-010,control,1,frw,v1,15.6105165481567,-1.07784254650362
sub-010,control,2,fpw,v1,17.3747482299805,-1.43477696624354
sub-010,control,3,fnw,v1,21.5163879394531,-0.147155989498202
sub-010,control,4,ffs,v1,20.1569118499756,-0.304120432398842
sub-010,control,5,brw,v1,16.9673519134521,-3.49518615868221
sub-010,control,6,bpw,v1,18.0934906005859,-2.53026090443426
sub-010,control,7,bnw,v1,16.9202938079834,-2.77698531505475
sub-010,control,8,bfs,v1,15.8744173049927,-2.8743793077571
sub-011,control,1,frw,v1,13.9102621078491,-1.18013803965508
sub-011,control,2,fpw,v1,15.1280250549316,0.38612078496754
sub-011,control,3,fnw,v1,17.2188587188721,-1.58880872323796
sub-011,control,4,ffs,v1,17.3018569946289,-3.58141413850367
sub-011,control,5,brw,v1,16.5723361968994,-3.88217810839792
sub-011,control,6,bpw,v1,15.4003276824951,-2.49252422063646
sub-011,control,7,bnw,v1,15.4647188186646,-4.30540033624249
sub-011,control,8,bfs,v1,16.7375717163086,-3.91087347660156
sub-012,expert,1,frw,v1,13.2012910842896,-1.34918036485073
sub-012,expert,2,fpw,v1,13.676775932312,-1.68844276642996
sub-012,expert,3,fnw,v1,14.083104133606,-0.482866170821201
sub-012,expert,4,ffs,v1,9.89362812042236,-1.64943655399675
sub-012,expert,5,brw,v1,14.3669109344482,-1.6758048535873
sub-012,expert,6,bpw,v1,16.1279945373535,-2.57562047418938
sub-012,expert,7,bnw,v1,16.899393081665,-1.47431839994413
sub-012,expert,8,bfs,v1,12.5193195343018,-0.497358849705879
sub-013,expert,1,frw,v1,15.6163997650146,-1.20687288158744
sub-013,expert,2,fpw,v1,15.9316730499268,-1.67146094949086
sub-013,expert,3,fnw,v1,20.0179576873779,-1.87280502399383
sub-013,expert,4,ffs,v1,18.9863967895508,-2.13389582329936
sub-013,expert,5,brw,v1,24.6696891784668,-1.62427874734028
sub-013,expert,6,bpw,v1,25.3318748474121,-2.74761365746228
sub-013,expert,7,bnw,v1,23.2613792419434,-2.22296925491038
sub-013,expert,8,bfs,v1,23.2124137878418,-2.03925716890475
sub-018,control,1,frw,v1,12.2101888656616,-0.498023972952644
sub-018,control,2,fpw,v1,14.2748250961304,-0.0564958804745424
sub-018,control,3,fnw,v1,14.2879495620728,-0.587392773168782
sub-018,control,4,ffs,v1,14.427264213562,-0.686124503687953
sub-018,control,5,brw,v1,11.0248289108276,-0.752393111113656
sub-018,control,6,bpw,v1,13.0378112792969,-0.683659476949036
sub-018,control,7,bnw,v1,13.0059375762939,0.193497760156082
sub-018,control,8,bfs,v1,13.10964012146,-0.480029169117562
sub-019,control,1,frw,v1,14.6504535675049,-2.68733739297883
sub-019,control,2,fpw,v1,15.2621088027954,-3.73220074407153
sub-019,control,3,fnw,v1,15.0325002670288,-4.89592195281068
sub-019,control,4,ffs,v1,14.1572141647339,-4.54610080895742
sub-019,control,5,brw,v1,11.4252948760986,-6.39964558149331
sub-019,control,6,bpw,v1,13.7228059768677,-6.17323932351147
sub-019,control,7,bnw,v1,13.5091180801392,-5.8279930585386
sub-019,control,8,bfs,v1,13.0113859176636,-5.5013322673297
sub-020,control,1,frw,v1,7.59668970108032,-3.04055209920924
sub-020,control,2,fpw,v1,6.61946725845337,-3.84909346797924
sub-020,control,3,fnw,v1,7.14151048660278,-3.08895685918327
sub-020,control,4,ffs,v1,6.98364400863647,-3.68826227937753
sub-020,control,5,brw,v1,7.85998678207397,-4.79502429858407
sub-020,control,6,bpw,v1,7.82191038131714,-4.43119149374836
sub-020,control,7,bnw,v1,5.07007837295532,-4.96025152232156
sub-020,control,8,bfs,v1,6.02741956710815,-5.03359400430575
sub-021,control,1,frw,v1,12.122410774231,-0.766012660522562
sub-021,control,2,fpw,v1,8.97852516174316,-1.57753132998826
sub-021,control,3,fnw,v1,9.94490909576416,-1.65790629726356
sub-021,control,4,ffs,v1,11.3305397033691,-2.72820786864067
sub-021,control,5,brw,v1,9.27894401550293,-2.27230979497659
sub-021,control,6,bpw,v1,9.61787128448486,-2.5540021995773
sub-021,control,7,bnw,v1,7.97208023071289,-2.90623170418253
sub-021,control,8,bfs,v1,9.71440315246582,-3.01492856607868
sub-022,control,1,frw,v1,3.92744493484497,-0.732996593022028
sub-022,control,2,fpw,v1,4.04698657989502,-0.145926610719357
sub-022,control,3,fnw,v1,4.22870826721191,0.0558811432226471
sub-022,control,4,ffs,v1,2.26435136795044,-1.63255782455432
sub-022,control,5,brw,v1,5.55248355865479,0.132881790486591
sub-022,control,6,bpw,v1,3.31284523010254,-1.27797700729018
sub-022,control,7,bnw,v1,4.05763912200928,-0.60215067494707
sub-022,control,8,bfs,v1,1.73743724822998,-1.99971176944151
sub-023,control,1,frw,v1,5.41806840896606,0.788974776364821
sub-023,control,2,fpw,v1,6.69841527938843,0.981184233552116
sub-023,control,3,fnw,v1,6.64889144897461,1.59598979195529
sub-023,control,4,ffs,v1,6.65530967712402,0.529487061236584
sub-023,control,5,brw,v1,3.96054291725159,-0.972917124993136
sub-023,control,6,bpw,v1,2.20373845100403,-0.661188711051037
sub-023,control,7,bnw,v1,3.34847235679626,-0.386497733338097
sub-023,control,8,bfs,v1,3.36776876449585,-0.363099426195944
sub-024,control,1,frw,v1,22.1030254364014,0.168346488965832
sub-024,control,2,fpw,v1,22.4730911254883,-1.11225811220456
sub-024,control,3,fnw,v1,20.9625720977783,-0.374273444919026
sub-024,control,4,ffs,v1,17.6050415039062,-1.8971115927621
sub-024,control,5,brw,v1,18.367769241333,-0.880478302698664
sub-024,control,6,bpw,v1,17.4295845031738,-0.0975747255839094
sub-024,control,7,bnw,v1,19.0079040527344,-0.401163122255494
sub-024,control,8,bfs,v1,19.2853393554688,-0.993111596311112
sub-026,control,1,frw,v1,10.1863746643066,-1.15561286749273
sub-026,control,2,fpw,v1,12.5096158981323,-0.0706229314659185
sub-026,control,3,fnw,v1,12.1269483566284,-1.10923622223451
sub-026,control,4,ffs,v1,12.718376159668,-0.626077400402941
sub-026,control,5,brw,v1,16.61940574646,-1.42339965481183
sub-026,control,6,bpw,v1,15.0874967575073,-1.43170206140904
sub-026,control,7,bnw,v1,15.5334787368774,-1.83124682372233
sub-026,control,8,bfs,v1,15.6329030990601,-0.178227937330345
sub-027,control,1,frw,v1,10.6746644973755,0.639357628080286
sub-027,control,2,fpw,v1,12.3168907165527,1.05224832741259
sub-027,control,3,fnw,v1,13.9899559020996,1.25033221878343
sub-027,control,4,ffs,v1,8.80665302276611,-0.311214630222934
sub-027,control,5,brw,v1,8.47160339355469,1.13312008828353
sub-027,control,6,bpw,v1,10.280668258667,1.15975887179948
sub-027,control,7,bnw,v1,8.74795341491699,1.28438500305667
sub-027,control,8,bfs,v1,8.32073307037354,1.26861803718579
sub-028,control,1,frw,v1,12.4058313369751,-2.66676836673785
sub-028,control,2,fpw,v1,11.2941961288452,-2.25133862085147
sub-028,control,3,fnw,v1,15.7047719955444,-0.658580070936681
sub-028,control,4,ffs,v1,17.2792816162109,-2.74250480289743
sub-028,control,5,brw,v1,15.5866317749023,-3.16639649370726
sub-028,control,6,bpw,v1,15.4558200836182,-3.04452997323044
sub-028,control,7,bnw,v1,15.4937057495117,-3.51646461356373
sub-028,control,8,bfs,v1,17.1770267486572,-3.25200841174609
