subject,group,contrast,condition,mask,peak,mean
sub-006,expert,1,frw,v1,12.6877660751343,2.18076750944817
sub-006,expert,2,fpw,v1,12.1911001205444,2.42625593352649
sub-006,expert,3,fnw,v1,12.784571647644,3.58194086169479
sub-006,expert,4,ffs,v1,8.62551021575928,2.61922636331507
sub-006,expert,5,brw,v1,11.8952693939209,2.92705097518585
sub-006,expert,6,bpw,v1,11.707462310791,3.27057105070735
sub-006,expert,7,bnw,v1,12.4817695617676,3.59212874041663
sub-006,expert,8,bfs,v1,9.12062454223633,2.15243779336258
sub-007,expert,1,frw,v1,13.2104244232178,2.77133051005803
sub-007,expert,2,fpw,v1,15.0765562057495,3.65818924418286
sub-007,expert,3,fnw,v1,16.3060512542725,3.81478516724738
sub-007,expert,4,ffs,v1,14.007869720459,3.6120165501595
sub-007,expert,5,brw,v1,14.337197303772,3.32773655597052
sub-007,expert,6,bpw,v1,14.1726408004761,3.3347713613794
sub-007,expert,7,bnw,v1,14.7034139633179,3.59398332541645
sub-007,expert,8,bfs,v1,11.640510559082,2.43092508750521
sub-008,expert,1,frw,v1,20.9815044403076,6.50845338038047
sub-008,expert,2,fpw,v1,20.5707721710205,6.22503687901789
sub-008,expert,3,fnw,v1,22.8464965820312,7.75894954470786
sub-008,expert,4,ffs,v1,21.7954883575439,7.4357491872866
sub-008,expert,5,brw,v1,19.1868476867676,7.22249750401637
sub-008,expert,6,bpw,v1,23.2049026489258,8.09232199528335
sub-008,expert,7,bnw,v1,23.2657775878906,7.05366654391918
sub-008,expert,8,bfs,v1,19.843864440918,5.20453770602066
sub-009,expert,1,frw,v1,15.0263109207153,3.57883528948309
sub-009,expert,2,fpw,v1,16.6645812988281,3.50638786060926
sub-009,expert,3,fnw,v1,17.1219329833984,4.88310083486248
sub-009,expert,4,ffs,v1,19.2137680053711,5.52897650422664
sub-009,expert,5,brw,v1,18.1428928375244,4.67837394782377
sub-009,expert,6,bpw,v1,17.2804298400879,4.74588110317468
sub-009,expert,7,bnw,v1,17.9658870697021,4.27890479475607
sub-009,expert,8,bfs,v1,15.2618236541748,4.51324860495244
sub-010,control,1,frw,v1,15.6778364181519,4.50845186985944
sub-010,control,2,fpw,v1,17.0296154022217,4.72645171114074
sub-010,control,3,fnw,v1,22.3976554870605,7.87140263179599
sub-010,control,4,ffs,v1,20.9523773193359,7.24762854273572
sub-010,control,5,brw,v1,17.2813606262207,4.64329353140836
sub-010,control,6,bpw,v1,18.3941307067871,6.08837567716837
sub-010,control,7,bnw,v1,16.8102436065674,5.30934243708087
sub-010,control,8,bfs,v1,16.6002864837646,4.96935868917966
sub-011,control,1,frw,v1,11.8293743133545,1.59368728868287
sub-011,control,2,fpw,v1,12.2233009338379,2.42141112835889
sub-011,control,3,fnw,v1,12.9275712966919,2.5892705845364
sub-011,control,4,ffs,v1,12.7950115203857,2.18970925149539
sub-011,control,5,brw,v1,13.9054517745972,2.61876483619464
sub-011,control,6,bpw,v1,13.4462814331055,2.81095469458384
sub-011,control,7,bnw,v1,14.3261775970459,2.07414687042036
sub-011,control,8,bfs,v1,14.6135110855103,2.1678667832166
sub-012,expert,1,frw,v1,13.7049512863159,2.54393662164157
sub-012,expert,2,fpw,v1,14.4683609008789,2.82716718676754
sub-012,expert,3,fnw,v1,13.3108167648315,3.59074563439597
sub-012,expert,4,ffs,v1,14.433443069458,3.42029338301583
sub-012,expert,5,brw,v1,13.9796810150146,3.54368065869266
sub-012,expert,6,bpw,v1,15.1979217529297,3.88976637075571
sub-012,expert,7,bnw,v1,15.4215402603149,4.12000114397569
sub-012,expert,8,bfs,v1,14.1613035202026,4.00418463073163
sub-013,expert,1,frw,v1,14.5844297409058,4.73203394095103
sub-013,expert,2,fpw,v1,14.4223041534424,4.41124527192054
sub-013,expert,3,fnw,v1,17.4175205230713,5.13631199498971
sub-013,expert,4,ffs,v1,16.6882858276367,5.4182561761591
sub-013,expert,5,brw,v1,19.7536144256592,7.09210101423164
sub-013,expert,6,bpw,v1,19.9034614562988,6.66462977747122
sub-013,expert,7,bnw,v1,18.7660503387451,6.3303102804472
sub-013,expert,8,bfs,v1,19.0795936584473,5.27392249946793
sub-018,control,1,frw,v1,12.8867139816284,3.92971377472083
sub-018,control,2,fpw,v1,14.3473711013794,4.73878247898722
sub-018,control,3,fnw,v1,15.2478256225586,4.02743715173491
sub-018,control,4,ffs,v1,14.6283178329468,3.57289541955032
sub-018,control,5,brw,v1,13.5172452926636,3.75447299857698
sub-018,control,6,bpw,v1,15.4967803955078,4.50345512186251
sub-018,control,7,bnw,v1,15.8690757751465,4.67138083014223
sub-018,control,8,bfs,v1,14.4568738937378,3.13585289606144
sub-019,control,1,frw,v1,14.7067165374756,2.33280928500165
sub-019,control,2,fpw,v1,16.1688842773438,2.83815711464985
sub-019,control,3,fnw,v1,15.7633171081543,2.67660996906067
sub-019,control,4,ffs,v1,14.2273435592651,2.57137994625066
sub-019,control,5,brw,v1,12.0851335525513,1.85123271841024
sub-019,control,6,bpw,v1,14.8932037353516,2.40918185136148
sub-019,control,7,bnw,v1,13.7176666259766,2.56207998444263
sub-019,control,8,bfs,v1,12.6667556762695,2.02411093926968
sub-020,control,1,frw,v1,14.8312072753906,0.563260235047589
sub-020,control,2,fpw,v1,14.3463478088379,0.888149420168096
sub-020,control,3,fnw,v1,16.9935245513916,2.43759896096566
sub-020,control,4,ffs,v1,18.2613620758057,2.1625429726167
sub-020,control,5,brw,v1,15.0925884246826,1.31177420624428
sub-020,control,6,bpw,v1,16.1681041717529,1.60706641815422
sub-020,control,7,bnw,v1,14.4262361526489,0.753903790551703
sub-020,control,8,bfs,v1,15.6029787063599,0.93003694312453
sub-021,control,1,frw,v1,15.3990087509155,4.25022778252238
sub-021,control,2,fpw,v1,13.2484693527222,3.22150063606861
sub-021,control,3,fnw,v1,15.945707321167,4.74783629029989
sub-021,control,4,ffs,v1,17.2638893127441,4.71710266706191
sub-021,control,5,brw,v1,16.8112564086914,4.73644490903734
sub-021,control,6,bpw,v1,16.8520584106445,4.83101712133931
sub-021,control,7,bnw,v1,13.6776762008667,3.68633760949842
sub-021,control,8,bfs,v1,17.0457801818848,4.02972213322983
sub-022,control,1,frw,v1,6.63899278640747,0.499985938953857
sub-022,control,2,fpw,v1,4.42605829238892,0.547153979208734
sub-022,control,3,fnw,v1,6.53431081771851,0.829377344581816
sub-022,control,4,ffs,v1,4.72603178024292,-0.0169342133733961
sub-022,control,5,brw,v1,5.13255786895752,0.922590090831121
sub-022,control,6,bpw,v1,7.00927400588989,0.285852150122325
sub-022,control,7,bnw,v1,6.997633934021,0.578263424999184
sub-022,control,8,bfs,v1,4.88156604766846,-0.106406133704715
sub-023,control,1,frw,v1,5.41806840896606,2.57280152529933
sub-023,control,2,fpw,v1,6.69841527938843,2.755940818434
sub-023,control,3,fnw,v1,6.44176959991455,2.94140686856881
sub-023,control,4,ffs,v1,5.34096193313599,2.28803285629353
sub-023,control,5,brw,v1,3.71291756629944,0.349160894424519
sub-023,control,6,bpw,v1,2.34182906150818,-0.162797400404393
sub-023,control,7,bnw,v1,2.90454864501953,0.245541069339912
sub-023,control,8,bfs,v1,3.37070369720459,0.657520592063381
sub-024,control,1,frw,v1,22.9925994873047,11.1905971943413
sub-024,control,2,fpw,v1,22.4730911254883,10.4209705502665
sub-024,control,3,fnw,v1,21.8847370147705,10.7743590733668
sub-024,control,4,ffs,v1,18.6541652679443,9.20939419723817
sub-024,control,5,brw,v1,18.7499675750732,9.44896451013762
sub-024,control,6,bpw,v1,18.4349632263184,9.95015480352098
sub-024,control,7,bnw,v1,19.0079040527344,10.0270449923524
sub-024,control,8,bfs,v1,20.4211254119873,9.60378840175921
sub-026,control,1,frw,v1,11.6208333969116,2.06245164963417
sub-026,control,2,fpw,v1,14.3678436279297,2.71876442785064
sub-026,control,3,fnw,v1,14.3350458145142,2.64268495243043
sub-026,control,4,ffs,v1,13.2942457199097,2.63257389818008
sub-026,control,5,brw,v1,18.3931007385254,2.38295707646757
sub-026,control,6,bpw,v1,17.2034511566162,2.40316154798726
sub-026,control,7,bnw,v1,17.2418975830078,2.1871279323101
sub-026,control,8,bfs,v1,16.8612518310547,2.82725546577324
sub-027,control,1,frw,v1,14.6714773178101,0.884953773894382
sub-027,control,2,fpw,v1,16.1753978729248,1.32809907542887
sub-027,control,3,fnw,v1,16.8737983703613,1.64514066990879
sub-027,control,4,ffs,v1,11.9897966384888,0.211594713679342
sub-027,control,5,brw,v1,10.0346832275391,1.37369604505323
sub-027,control,6,bpw,v1,10.9826040267944,2.03611458026701
sub-027,control,7,bnw,v1,10.5496625900269,2.04356307198328
sub-027,control,8,bfs,v1,9.85284519195557,1.8371650437514
sub-028,control,1,frw,v1,11.789740562439,3.96056723223627
sub-028,control,2,fpw,v1,11.5092267990112,4.4279979744181
sub-028,control,3,fnw,v1,17.5849418640137,7.3312683686316
sub-028,control,4,ffs,v1,18.2323360443115,6.65097307678848
sub-028,control,5,brw,v1,18.2130260467529,6.38332278457284
sub-028,control,6,bpw,v1,18.488733291626,6.67586817615479
sub-028,control,7,bnw,v1,17.188627243042,5.86080822937191
sub-028,control,8,bfs,v1,18.273229598999,6.25309370724857
