subject,group,contrast,condition,mask,peak,mean
sub-006,expert,49,frw,VWFA,7.03955030441284,1.16973178495126
sub-006,expert,50,fpw,VWFA,8.14404964447021,1.74258299361077
sub-006,expert,51,fnw,VWFA,10.5878810882568,3.25151838529711
sub-006,expert,52,ffs,VWFA,14.3076210021973,4.47953811033752
sub-006,expert,53,brw,VWFA,10.2504901885986,2.22201703483051
sub-006,expert,54,bpw,VWFA,9.40182209014893,2.54583897597568
sub-006,expert,55,bnw,VWFA,11.8391904830933,4.05074792078068
sub-006,expert,56,bfs,VWFA,10.4884243011475,3.46837206213742
sub-007,expert,49,frw,VWFA,4.94543600082397,1.10056276489504
sub-007,expert,50,fpw,VWFA,7.28257656097412,3.27507953654075
sub-007,expert,51,fnw,VWFA,8.26581287384033,3.74671445296671
sub-007,expert,52,ffs,VWFA,10.4538040161133,3.50982046058808
sub-007,expert,53,brw,VWFA,10.6551218032837,5.40504347901235
sub-007,expert,54,bpw,VWFA,13.2630052566528,7.19455542098517
sub-007,expert,55,bnw,VWFA,11.8225536346436,5.7820603868057
sub-007,expert,56,bfs,VWFA,8.07228851318359,1.72054195716367
sub-008,expert,49,frw,VWFA,5.2397198677063,2.14973547907875
sub-008,expert,50,fpw,VWFA,8.08171558380127,3.38640672582037
sub-008,expert,51,fnw,VWFA,7.88352632522583,3.71747399077696
sub-008,expert,52,ffs,VWFA,12.6518363952637,5.58003318590276
sub-008,expert,53,brw,VWFA,10.9813499450684,4.46277387847795
sub-008,expert,54,bpw,VWFA,13.7677173614502,5.58393868917928
sub-008,expert,55,bnw,VWFA,11.794394493103,4.95876485227662
sub-008,expert,56,bfs,VWFA,8.71755123138428,1.96113676906509
sub-009,expert,49,frw,VWFA,11.1348190307617,5.37352659231833
sub-009,expert,50,fpw,VWFA,16.626651763916,7.26800116800493
sub-009,expert,51,fnw,VWFA,17.3142528533936,7.55685925267396
sub-009,expert,52,ffs,VWFA,21.9232387542725,9.63048575578197
sub-009,expert,53,brw,VWFA,18.2643451690674,7.14117688271067
sub-009,expert,54,bpw,VWFA,18.8271236419678,7.51885745830594
sub-009,expert,55,bnw,VWFA,15.8606004714966,5.78949859648222
sub-009,expert,56,bfs,VWFA,13.2388391494751,5.09674426785111
sub-010,control,49,frw,VWFA,13.3245229721069,4.33734481781721
sub-010,control,50,fpw,VWFA,14.3719139099121,4.89828656785763
sub-010,control,51,fnw,VWFA,19.4908885955811,8.38736570313485
sub-010,control,52,ffs,VWFA,18.9859352111816,7.11655638525648
sub-010,control,53,brw,VWFA,12.5870981216431,4.52940471474765
sub-010,control,54,bpw,VWFA,14.5510578155518,5.80571075354719
sub-010,control,55,bnw,VWFA,11.3374843597412,4.22699144887104
sub-010,control,56,bfs,VWFA,12.112247467041,5.04415705232446
sub-011,control,49,frw,VWFA,4.68080425262451,1.66102278682704
sub-011,control,50,fpw,VWFA,7.79960441589355,2.42357517868424
sub-011,control,51,fnw,VWFA,10.240177154541,3.07463755225763
sub-011,control,52,ffs,VWFA,15.3929214477539,5.83242263515981
sub-011,control,53,brw,VWFA,11.8889083862305,4.31438090723868
sub-011,control,54,bpw,VWFA,14.2575359344482,5.86068667603495
sub-011,control,55,bnw,VWFA,11.2301416397095,3.76840812050236
sub-011,control,56,bfs,VWFA,12.7299642562866,5.52495303492133
sub-012,expert,49,frw,VWFA,6.07837152481079,2.51359039654942
sub-012,expert,50,fpw,VWFA,8.66116619110107,3.85078603141814
sub-012,expert,51,fnw,VWFA,8.91151332855225,4.18817815358797
sub-012,expert,52,ffs,VWFA,11.6525430679321,5.35903624568483
sub-012,expert,53,brw,VWFA,11.9945259094238,5.11824878069351
sub-012,expert,54,bpw,VWFA,14.6326303482056,6.62512991021273
sub-012,expert,55,bnw,VWFA,13.7340822219849,6.68417094680045
sub-012,expert,56,bfs,VWFA,10.9845600128174,3.83376353928189
sub-013,expert,49,frw,VWFA,7.99613475799561,3.19103380349487
sub-013,expert,50,fpw,VWFA,10.7638702392578,4.33664927790015
sub-013,expert,51,fnw,VWFA,12.3197374343872,4.86922597691534
sub-013,expert,52,ffs,VWFA,13.447286605835,5.8439983963145
sub-013,expert,53,brw,VWFA,11.081672668457,4.25392112798813
sub-013,expert,54,bpw,VWFA,13.5061454772949,5.21693045619553
sub-013,expert,55,bnw,VWFA,13.6169052124023,6.12904889897744
sub-013,expert,56,bfs,VWFA,11.2248487472534,4.66203680728364
sub-018,control,49,frw,VWFA,2.99517297744751,-0.103167101332586
sub-018,control,50,fpw,VWFA,5.85043525695801,0.459245061705986
sub-018,control,51,fnw,VWFA,10.2052822113037,2.02777043051303
sub-018,control,52,ffs,VWFA,16.7381000518799,4.39605488128042
sub-018,control,53,brw,VWFA,7.83640098571777,1.74792858555096
sub-018,control,54,bpw,VWFA,7.56696224212646,1.4507146415441
sub-018,control,55,bnw,VWFA,7.96795892715454,1.88574783019211
sub-018,control,56,bfs,VWFA,9.34958267211914,2.85732787880689
sub-019,control,49,frw,VWFA,6.5767035484314,1.55981570720673
sub-019,control,50,fpw,VWFA,11.6369190216064,2.69395757818222
sub-019,control,51,fnw,VWFA,7.98812294006348,1.81986832793057
sub-019,control,52,ffs,VWFA,5.86712074279785,1.27049844363332
sub-019,control,53,brw,VWFA,1.93136417865753,-0.472226284489036
sub-019,control,54,bpw,VWFA,2.06320071220398,-0.132105690471828
sub-019,control,55,bnw,VWFA,3.8786244392395,0.348863293230534
sub-019,control,56,bfs,VWFA,2.57292914390564,-0.217720662720501
sub-020,control,49,frw,VWFA,7.64956045150757,3.59399885627903
sub-020,control,50,fpw,VWFA,8.1350269317627,3.2589137764538
sub-020,control,51,fnw,VWFA,10.6358213424683,5.50728677000318
sub-020,control,52,ffs,VWFA,10.2817478179932,3.36272587896395
sub-020,control,53,brw,VWFA,5.14636182785034,1.50971127079972
sub-020,control,54,bpw,VWFA,4.36902666091919,1.31436346958102
sub-020,control,55,bnw,VWFA,4.08169889450073,0.616124631766574
sub-020,control,56,bfs,VWFA,4.24692058563232,0.298738186474608
sub-021,control,49,frw,VWFA,5.2085599899292,1.20427444148955
sub-021,control,50,fpw,VWFA,4.68054103851318,1.23846894220126
sub-021,control,51,fnw,VWFA,14.9981355667114,3.90323096067887
sub-021,control,52,ffs,VWFA,19.1453800201416,6.4890996241634
sub-021,control,53,brw,VWFA,10.5675020217896,3.86327790135085
sub-021,control,54,bpw,VWFA,12.5401020050049,4.11717456461876
sub-021,control,55,bnw,VWFA,9.78962993621826,3.37169187951569
sub-021,control,56,bfs,VWFA,9.71630668640137,3.41973809006177
sub-022,control,49,frw,VWFA,6.15237951278687,1.52385146644564
sub-022,control,50,fpw,VWFA,9.95164680480957,3.47661939916419
sub-022,control,51,fnw,VWFA,11.4923124313354,4.45360949653902
sub-022,control,52,ffs,VWFA,11.6653823852539,4.58778378707759
sub-022,control,53,brw,VWFA,8.23402118682861,2.49973808980926
sub-022,control,54,bpw,VWFA,7.65495872497559,2.85498172890993
sub-022,control,55,bnw,VWFA,8.42922306060791,2.66189819675537
sub-022,control,56,bfs,VWFA,7.79779291152954,2.18776287085572
sub-023,control,49,frw,VWFA,5.11872863769531,1.08687416380254
sub-023,control,50,fpw,VWFA,4.55243110656738,1.7463371686415
sub-023,control,51,fnw,VWFA,4.66395282745361,1.98681826717151
sub-023,control,52,ffs,VWFA,5.07271671295166,1.84873354624012
sub-023,control,53,brw,VWFA,2.33027672767639,-0.0976209863273205
sub-023,control,54,bpw,VWFA,2.49374413490295,0.136747545521418
sub-023,control,55,bnw,VWFA,2.37387132644653,0.5186344649462
sub-023,control,56,bfs,VWFA,2.43658494949341,0.359823264103099
sub-024,control,49,frw,VWFA,7.23326635360718,2.72751587724144
sub-024,control,50,fpw,VWFA,9.34931373596191,3.10219583944841
sub-024,control,51,fnw,VWFA,9.61915493011475,4.04668987958946
sub-024,control,52,ffs,VWFA,13.2624578475952,5.29377654699439
sub-024,control,53,brw,VWFA,7.21059608459473,2.91458657661622
sub-024,control,54,bpw,VWFA,8.14799308776855,2.97708020117134
sub-024,control,55,bnw,VWFA,9.45662117004395,3.65898530876095
sub-024,control,56,bfs,VWFA,9.92965221405029,3.25596524449912
sub-026,control,49,frw,VWFA,9.22640228271484,3.61896947990771
sub-026,control,50,fpw,VWFA,11.3844175338745,5.00102325418208
sub-026,control,51,fnw,VWFA,10.7003660202026,4.58139579602987
sub-026,control,52,ffs,VWFA,14.3341045379639,6.3644730774778
sub-026,control,53,brw,VWFA,12.7929840087891,5.46652813119316
sub-026,control,54,bpw,VWFA,11.9094905853271,4.99640016361038
sub-026,control,55,bnw,VWFA,14.0206022262573,5.33809298144119
sub-026,control,56,bfs,VWFA,10.7670297622681,5.55289719859599
sub-027,control,49,frw,VWFA,8.42382526397705,1.84383267922385
sub-027,control,50,fpw,VWFA,8.16269207000732,1.64930333422399
sub-027,control,51,fnw,VWFA,10.5086908340454,1.96809289479279
sub-027,control,52,ffs,VWFA,8.81020450592041,1.37870205400395
sub-027,control,53,brw,VWFA,6.83233976364136,2.51036190992454
sub-027,control,54,bpw,VWFA,5.51212024688721,1.71301570320793
sub-027,control,55,bnw,VWFA,4.26655578613281,0.764548108621966
sub-027,control,56,bfs,VWFA,5.73574638366699,1.98827446030191
sub-028,control,49,frw,VWFA,3.08083581924438,0.451234306533669
sub-028,control,50,fpw,VWFA,4.3144793510437,0.918031955354435
sub-028,control,51,fnw,VWFA,7.06859445571899,2.30828502700599
sub-028,control,52,ffs,VWFA,11.9443054199219,5.8051066204559
sub-028,control,53,brw,VWFA,6.03371047973633,1.86392660820207
sub-028,control,54,bpw,VWFA,7.36323642730713,2.44930238675239
sub-028,control,55,bnw,VWFA,8.23787879943848,2.9188186952541
sub-028,control,56,bfs,VWFA,6.54945707321167,2.58031572852024
