subject,group,contrast,condition,mask,peak,mean
sub-006,expert,49,frw,antVWFA,6.05867433547974,2.10819338476568
sub-006,expert,50,fpw,antVWFA,8.51706504821777,3.68583708312927
sub-006,expert,51,fnw,antVWFA,10.1564559936523,4.99256676435471
sub-006,expert,52,ffs,antVWFA,12.7845153808594,4.63284068757837
sub-006,expert,53,brw,antVWFA,8.39994430541992,2.89285737380498
sub-006,expert,54,bpw,antVWFA,10.0692167282104,4.10866054102327
sub-006,expert,55,bnw,antVWFA,12.283896446228,6.08807163121122
sub-006,expert,56,bfs,antVWFA,6.10401630401611,2.41184478046401
sub-006,expert,49,frw,posVWFA,7.12417793273926,2.20025438448739
sub-006,expert,50,fpw,posVWFA,12.830979347229,3.58843634511152
sub-006,expert,51,fnw,posVWFA,11.2394199371338,4.56213713685672
sub-006,expert,52,ffs,posVWFA,9.55312824249268,3.55996673767056
sub-006,expert,53,brw,posVWFA,9.95908832550049,2.97994788960805
sub-006,expert,54,bpw,posVWFA,14.0395536422729,3.82189022785141
sub-006,expert,55,bnw,posVWFA,13.5708932876587,5.72933998562041
sub-006,expert,56,bfs,posVWFA,6.27654361724854,2.10761926524223
sub-007,expert,49,frw,antVWFA,3.87482523918152,1.39790850586217
sub-007,expert,50,fpw,antVWFA,7.28257656097412,3.97007497043713
sub-007,expert,51,fnw,antVWFA,8.02919387817383,4.32646666402402
sub-007,expert,52,ffs,antVWFA,9.07571506500244,5.79924245502638
sub-007,expert,53,brw,antVWFA,10.6551218032837,7.18038037289744
sub-007,expert,54,bpw,antVWFA,13.2630052566528,8.82857497878697
sub-007,expert,55,bnw,antVWFA,11.8225536346436,7.92207617863365
sub-007,expert,56,bfs,antVWFA,8.07228851318359,4.33920881216941
sub-007,expert,49,frw,posVWFA,4.94543600082397,0.993704139234978
sub-007,expert,50,fpw,posVWFA,7.03146648406982,3.02531555248424
sub-007,expert,51,fnw,posVWFA,8.26581287384033,3.53836600211798
sub-007,expert,52,ffs,posVWFA,10.4538040161133,2.68705943133682
sub-007,expert,53,brw,posVWFA,9.86647415161133,4.76703178277239
sub-007,expert,54,bpw,posVWFA,13.1233892440796,6.60732964240015
sub-007,expert,55,bnw,posVWFA,10.1494140625,5.01299221161753
sub-007,expert,56,bfs,posVWFA,6.47008943557739,0.779458556145983
sub-008,expert,49,frw,antVWFA,5.2397198677063,2.20529659668547
sub-008,expert,50,fpw,antVWFA,7.71538400650024,3.1142747939326
sub-008,expert,51,fnw,antVWFA,7.88352632522583,3.48468579663787
sub-008,expert,52,ffs,antVWFA,12.6518363952637,4.79481063194053
sub-008,expert,53,brw,antVWFA,10.9813499450684,4.31707060605634
sub-008,expert,54,bpw,antVWFA,13.5034484863281,5.10438641247361
sub-008,expert,55,bnw,antVWFA,11.794394493103,5.38705618948091
sub-008,expert,56,bfs,antVWFA,6.31746292114258,1.11815224154744
sub-008,expert,49,frw,posVWFA,4.58760643005371,2.09285147771949
sub-008,expert,50,fpw,posVWFA,8.08171558380127,3.66501798941976
sub-008,expert,51,fnw,posVWFA,7.8292670249939,3.95580476096698
sub-008,expert,52,ffs,posVWFA,11.7196073532104,6.38395151495934
sub-008,expert,53,brw,posVWFA,8.90243625640869,4.61194627643341
sub-008,expert,54,bpw,posVWFA,13.7677173614502,6.07490887723508
sub-008,expert,55,bnw,posVWFA,11.6058483123779,4.52027610228175
sub-008,expert,56,bfs,posVWFA,8.71755123138428,2.82419235676172
sub-009,expert,49,frw,antVWFA,9.21678733825684,5.0295396109354
sub-009,expert,50,fpw,antVWFA,13.2101583480835,6.75465068996769
sub-009,expert,51,fnw,antVWFA,13.4579076766968,6.8001876122331
sub-009,expert,52,ffs,antVWFA,17.8840732574463,9.07737597047466
sub-009,expert,53,brw,antVWFA,14.5573444366455,6.66404923745622
sub-009,expert,54,bpw,antVWFA,15.3566055297852,6.94544792624369
sub-009,expert,55,bnw,antVWFA,13.9212589263916,5.46804376814055
sub-009,expert,56,bfs,antVWFA,11.666109085083,4.82477814884544
sub-009,expert,49,frw,posVWFA,11.1348190307617,5.86590011468997
sub-009,expert,50,fpw,posVWFA,16.626651763916,8.00279695029352
sub-009,expert,51,fnw,posVWFA,17.3142528533936,8.63993826742266
sub-009,expert,52,ffs,posVWFA,21.9232387542725,10.422191919065
sub-009,expert,53,brw,posVWFA,18.2643451690674,7.82412429650625
sub-009,expert,54,bpw,posVWFA,18.8271236419678,8.33962012184601
sub-009,expert,55,bnw,posVWFA,15.8606004714966,6.24962021352029
sub-009,expert,56,bfs,posVWFA,13.2388391494751,5.48602910485922
sub-010,control,49,frw,antVWFA,9.19699764251709,3.60886197244183
sub-010,control,50,fpw,antVWFA,10.3459558486938,4.24713466123918
