subject,group,contrast,condition,mask,peak,mean
sub-006,expert,1,frw,v1,9.43800067901611,-1.9215121694695
sub-006,expert,2,fpw,v1,9.15706729888916,-1.05114177383269
sub-006,expert,3,fnw,v1,9.22554302215576,-0.0493404496183349
sub-006,expert,4,ffs,v1,8.1647253036499,-2.45029325191245
sub-006,expert,5,brw,v1,9.56941604614258,-2.44492602331768
sub-006,expert,6,bpw,v1,10.8549537658691,-2.56926240553548
sub-006,expert,7,bnw,v1,10.4126272201538,-1.5433109232702
sub-006,expert,8,bfs,v1,7.61603021621704,-2.1986093149061
sub-007,expert,1,frw,v1,14.4376697540283,0.225619577799547
sub-007,expert,2,fpw,v1,17.6396942138672,1.15704672834883
sub-007,expert,3,fnw,v1,17.9887542724609,1.07501414641467
sub-007,expert,4,ffs,v1,14.9877891540527,1.11691280550154
sub-007,expert,5,brw,v1,14.0512952804565,-0.704450323395054
sub-007,expert,6,bpw,v1,15.0893983840942,-0.328605910298737
sub-007,expert,7,bnw,v1,14.2447814941406,-0.142887412822564
sub-007,expert,8,bfs,v1,10.2479934692383,-0.925089369191597
sub-008,expert,1,frw,v1,21.1382217407227,0.498439788595408
sub-008,expert,2,fpw,v1,20.5707721710205,-0.789776684923665
sub-008,expert,3,fnw,v1,22.7492809295654,0.0100874136544648
sub-008,expert,4,ffs,v1,23.2999897003174,-0.854340786756794
sub-008,expert,5,brw,v1,19.730447769165,0.39302525265252
sub-008,expert,6,bpw,v1,23.2049026489258,0.00509857861625952
sub-008,expert,7,bnw,v1,23.2657775878906,-0.673890298914266
sub-008,expert,8,bfs,v1,19.843864440918,-3.19945888135209
sub-009,expert,1,frw,v1,15.0263109207153,0.176328932453876
sub-009,expert,2,fpw,v1,16.6645812988281,-0.230735664872572
sub-009,expert,3,fnw,v1,17.1219329833984,1.07780584025053
sub-009,expert,4,ffs,v1,19.2137680053711,0.515785707813169
sub-009,expert,5,brw,v1,18.1428928375244,-0.982810841137269
sub-009,expert,6,bpw,v1,17.2804298400879,-1.28382954313522
