"group1","group2","ttest","pvalue"
"french_experts","braille_experts","1.13592366849413","0.307485157522796"
"french_experts","french_controls","1.11161211375357","0.28999570114508"
"french_experts","braille_controls","3.23586177429127","0.0177511035829686"
"braille_experts","french_controls","0.522679506910179","0.609408940342371"
"braille_experts","braille_controls","3.18603735436727","0.0156806597464971"
"french_controls","braille_controls","2.3102005924746","0.0434925445333626"
"french_experts","One-sample","3.62441217804537","0.015149155575702"
"braille_experts","One-sample","3.78444631330728","0.0128312455261335"
"french_controls","One-sample","2.80597586327044","0.0186028621229243"
"braille_controls","One-sample","0.740233210197608","0.476178589494923"
