"subject","group","script","condition","slope","intercept","cluster","specify","intact"
"sub-006","expert","french","fw",0.330456324136723,-6.60958925342104e-18,"french_expert","fw_exp","intact"
"sub-006","expert","french","sfw",0.352532121502195,6.12601575056192e-18,"french_expert","sfw_exp","scrambled"
"sub-007","expert","french","fw",0.819714183129885,2.95408495145812e-18,"french_expert","fw_exp","intact"
"sub-007","expert","french","sfw",0.599031762834364,3.88789649190649e-18,"french_expert","sfw_exp","scrambled"
"sub-008","expert","french","fw",0.746369159671695,5.89667443612117e-18,"french_expert","fw_exp","intact"
"sub-008","expert","french","sfw",0.31048982435414,3.36071680532046e-18,"french_expert","sfw_exp","scrambled"
"sub-009","expert","french","fw",0.57708428268575,1.17071438119821e-17,"french_expert","fw_exp","intact"
"sub-009","expert","french","sfw",-0.286788445254218,4.35117730972149e-18,"french_expert","sfw_exp","scrambled"
"sub-011","control","french","fw",0.374277461305075,9.96503088147295e-18,"french_control","fw_ctr","intact"
"sub-011","control","french","sfw",0.0700537591690011,-5.09269746075064e-18,"french_control","sfw_ctr","scrambled"
"sub-013","expert","french","fw",0.279741010247162,4.58725350084284e-18,"french_expert","fw_exp","intact"
"sub-013","expert","french","sfw",-0.0165822478682815,-7.71183285892679e-18,"french_expert","sfw_exp","scrambled"
"sub-019","control","french","fw",0.840984177329012,1.91776753532734e-17,"french_control","fw_ctr","intact"
"sub-019","control","french","sfw",0.964069427862001,4.32484756772479e-18,"french_control","sfw_ctr","scrambled"
"sub-020","control","french","fw",0.623217845251544,6.56804001809582e-18,"french_control","fw_ctr","intact"
"sub-020","control","french","sfw",0.298596152504439,3.02014731321532e-18,"french_control","sfw_ctr","scrambled"
"sub-021","control","french","fw",0.669189579134494,5.67248288949203e-18,"french_control","fw_ctr","intact"
"sub-021","control","french","sfw",0.343567309605933,1.12512089391908e-18,"french_control","sfw_ctr","scrambled"
"sub-022","control","french","fw",0.841183774571176,1.14630295268141e-17,"french_control","fw_ctr","intact"
"sub-022","control","french","sfw",0.548439988069095,-3.04411645935624e-18,"french_control","sfw_ctr","scrambled"
"sub-024","control","french","fw",0.487882496478402,-5.87005989380221e-18,"french_control","fw_ctr","intact"
"sub-024","control","french","sfw",0.295114125036138,4.71575665628197e-18,"french_control","sfw_ctr","scrambled"
"sub-027","control","french","fw",0.845668576590417,1.15406578088737e-18,"french_control","fw_ctr","intact"
"sub-027","control","french","sfw",0.578999498206306,-2.73123035767555e-18,"french_control","sfw_ctr","scrambled"
"sub-028","control","french","fw",0.579152435694196,-5.09249158326802e-18,"french_control","fw_ctr","intact"
"sub-028","control","french","sfw",-0.298711624052387,-6.72291927820385e-18,"french_control","sfw_ctr","scrambled"
"sub-006","expert","braille","bw",0.0817017314925846,3.58808740220054e-18,"braille_expert","bw_exp","intact"
"sub-006","expert","braille","sbw",-0.0675534347956869,8.79918030888484e-18,"braille_expert","sbw_exp","scrambled"
"sub-007","expert","braille","bw",0.227576930744292,2.4870454371769e-18,"braille_expert","bw_exp","intact"
"sub-007","expert","braille","sbw",0.520524442148701,9.44202969401425e-18,"braille_expert","sbw_exp","scrambled"
"sub-008","expert","braille","bw",0.258220098872852,-1.06941369376661e-17,"braille_expert","bw_exp","intact"
"sub-008","expert","braille","sbw",0.233087721555331,-5.24729448756072e-18,"braille_expert","sbw_exp","scrambled"
"sub-009","expert","braille","bw",-0.0941364720971151,-7.54584048213745e-18,"braille_expert","bw_exp","intact"
"sub-009","expert","braille","sbw",-0.22067038061152,-1.01087185488364e-17,"braille_expert","sbw_exp","scrambled"
"sub-011","control","braille","bw",0.226818262040105,3.63443896772578e-18,"braille_control","bw_ctr","intact"
"sub-011","control","braille","sbw",0.0394739022651038,-3.53151060185128e-18,"braille_control","sbw_ctr","scrambled"
"sub-013","expert","braille","bw",0.23056658828594,-9.29242294174603e-18,"braille_expert","bw_exp","intact"
"sub-013","expert","braille","sbw",-0.232939857204136,1.34695991347603e-17,"braille_expert","sbw_exp","scrambled"
"sub-019","control","braille","bw",1.09371011108737,4.03125830997974e-19,"braille_control","bw_ctr","intact"
"sub-019","control","braille","sbw",0.870942036520457,4.53273718870835e-18,"braille_control","sbw_ctr","scrambled"
"sub-020","control","braille","bw",0.451402811698748,2.97173446665661e-18,"braille_control","bw_ctr","intact"
"sub-020","control","braille","sbw",0.465353113772245,7.13212588572469e-18,"braille_control","sbw_ctr","scrambled"
"sub-021","control","braille","bw",0.0887857379582286,-3.08144183459211e-18,"braille_control","bw_ctr","intact"
"sub-021","control","braille","sbw",0.316171911625564,5.49858250155761e-18,"braille_control","sbw_ctr","scrambled"
"sub-022","control","braille","bw",0.500701179424717,-3.27744900005732e-19,"braille_control","bw_ctr","intact"
"sub-022","control","braille","sbw",0.784818663791493,1.39553411510283e-17,"braille_control","sbw_ctr","scrambled"
"sub-024","control","braille","bw",0.219265862414345,7.70944937753108e-18,"braille_control","bw_ctr","intact"
"sub-024","control","braille","sbw",0.336538753257163,3.13675945587233e-18,"braille_control","sbw_ctr","scrambled"
"sub-027","control","braille","bw",0.767890993635521,-4.74037124778859e-18,"braille_control","bw_ctr","intact"
"sub-027","control","braille","sbw",0.753543148655524,1.26831299232646e-18,"braille_control","sbw_ctr","scrambled"
"sub-028","control","braille","bw",-0.432576994781835,-7.66063305094038e-18,"braille_control","bw_ctr","intact"
"sub-028","control","braille","sbw",0.439216178828905,5.3887429779208e-18,"braille_control","sbw_ctr","scrambled"
