mask,image,group1,group2,correlation,pValueUncorr,pValueFDRcorr
V1,beta,EXPFR,EXPBR,0.499877615817785,0,0
V1,beta,EXPFR,CTRFR,0.561016232125679,0,0
V1,beta,EXPFR,CTRBR,0.196356687123528,0.04306,0.0615142857142857
V1,beta,EXPBR,CTRFR,0.492359733260722,0,0
V1,beta,EXPBR,CTRBR,0.178356776062172,0.0596,0.0745
V1,beta,CTRFR,CTRBR,0.218904394789744,0.01066,0.02132
V1,beta,EXPFR,MODEL,0.682400852340369,1e-05,2.5e-05
V1,beta,EXPBR,MODEL,0.252679091620962,0.08364,0.0929333333333333
V1,beta,CTRFR,MODEL,0.283696976290112,0.01532,0.0255333333333333
V1,beta,CTRBR,MODEL,0.135031116286838,0.15974,0.15974
