mask,image,group1,group2,correlation,pValueUncorr,pValueFDRcorr
VWFAfr,beta,EXPFR,EXPBR,0.482271498392109,5e-05,0.000136363636363636
VWFAfr,beta,EXPFR,CTRFR,0.581337321292611,0,0
VWFAfr,beta,EXPFR,CTRBR,-0.0267360529845591,0.58923,0.609548275862069
VWFAfr,beta,EXPBR,CTRFR,0.578548695934662,0,0
VWFAfr,beta,EXPBR,CTRBR,0.331126320542496,0.0012,0.00213529411764706
VWFAfr,beta,CTRFR,CTRBR,0.0937078471153415,0.15342,0.200113043478261
VWFAfr,beta,EXPFR,MODEL,0.431191161793284,0.00579,0.00965
VWFAfr,beta,EXPBR,MODEL,0.592501360007081,0.00019,0.000407142857142857
VWFAfr,beta,CTRFR,MODEL,0.448073701575615,7e-05,0.000175
VWFAfr,beta,CTRBR,MODEL,-0.0118054314260872,0.53432,0.572485714285714
lLO,beta,EXPFR,EXPBR,0.561125924881846,0,0
lLO,beta,EXPFR,CTRFR,0.753447250073642,0,0
lLO,beta,EXPFR,CTRBR,0.191701463698829,0.04713,0.070695
lLO,beta,EXPBR,CTRFR,0.554181114169017,0,0
lLO,beta,EXPBR,CTRBR,0.142440806524675,0.11074,0.151009090909091
lLO,beta,CTRFR,CTRBR,0.135329782463127,0.0884,0.126285714285714
lLO,beta,EXPFR,MODEL,0.513415704242914,0.00103,0.00206
lLO,beta,EXPBR,MODEL,0.336602995112011,0.03324,0.0524842105263158
lLO,beta,CTRFR,MODEL,0.613490346311342,0,0
lLO,beta,CTRBR,MODEL,-0.0658997461477215,0.67794,0.67794
rLO,beta,EXPFR,EXPBR,0.652095238091172,0,0
rLO,beta,EXPFR,CTRFR,0.827124288316525,0,0
rLO,beta,EXPFR,CTRBR,0.0628002488011282,0.28963,0.3620375
rLO,beta,EXPBR,CTRFR,0.643227341922888,0,0
rLO,beta,EXPBR,CTRBR,0.0367841811791723,0.37193,0.446316
rLO,beta,CTRFR,CTRBR,0.00912446667750412,0.46428,0.515866666666667
rLO,beta,EXPFR,MODEL,0.639442320929654,3e-05,9e-05
rLO,beta,EXPBR,MODEL,0.528485851281736,0.00121,0.00213529411764706
rLO,beta,CTRFR,MODEL,0.444738759356511,0.00015,0.000346153846153846
rLO,beta,CTRBR,MODEL,0.0363594075956396,0.39472,0.455446153846154
