mask,image,group1,group2,correlation,pValueUncorr,pValueFDRcorr
PosTemp,beta,EXPFR,EXPBR,0.515983022581808,0.00019,0.000633333333333333
PosTemp,beta,EXPFR,CTRFR,0.431095074694257,0.00019,0.000633333333333333
PosTemp,beta,EXPFR,CTRBR,0.151829569257042,0.10697,0.1337125
PosTemp,beta,EXPBR,CTRFR,0.435763450118231,0.00019,0.000633333333333333
PosTemp,beta,EXPBR,CTRBR,0.152047704065018,0.10606,0.1337125
PosTemp,beta,CTRFR,CTRBR,0.183839503645408,0.03282,0.06564
PosTemp,beta,EXPFR,MODEL,0.178726738905253,0.19063,0.211811111111111
PosTemp,beta,EXPBR,MODEL,0.256720959969327,0.09858,0.1337125
PosTemp,beta,CTRFR,MODEL,0.271048665900584,0.02523,0.063075
PosTemp,beta,CTRBR,MODEL,-0.0562486362752069,0.65099,0.65099
