"group1","group2","stat","p_value","df","pvalFDR"
"control_lLO_bw","control_lLO_sbw","1.41862530968841","0.189695335279318","9","0.269836316405759"
"expert_lLO_bw","expert_lLO_sbw","1.50039276788237","0.19380589125733","5","0.269836316405759"
"control_lPosTemp_bw","control_lPosTemp_sbw","-1.24121649747497","0.242852684765183","10","0.269836316405759"
"expert_lPosTemp_bw","expert_lPosTemp_sbw","2.0320401693959","0.111952496945936","4","0.2599791449191"
"control_rLO_bw","control_rLO_sbw","1.30142543534155","0.225438857315339","9","0.269836316405759"
"expert_rLO_bw","expert_rLO_sbw","1.86433465316761","0.12129323883025","5","0.2599791449191"
"control_V1_bw","control_V1_sbw","0.245843471274318","0.810775683978865","10","0.810775683978865"
"expert_V1_bw","expert_V1_sbw","3.71573700518713","0.0137727766479696","5","0.0688638832398481"
"control_VWFA_bw","control_VWFA_sbw","1.636538813891","0.12998957245955","11","0.2599791449191"
"expert_VWFA_bw","expert_VWFA_sbw","4.45524568119523","0.00666979463206023","5","0.0666979463206023"
