"group1","group2","stat","p_value","df","pvalFDR"
"control_lLO_bw","control_lLO_sbw","1.50582286053","0.166375625518494","9","0.257893282856918"
"expert_lLO_bw","expert_lLO_sbw","1.51646247311883","0.189845617610303","5","0.257893282856918"
"control_lPosTemp_bw","control_lPosTemp_sbw","-1.27215418784445","0.232103954571226","10","0.257893282856918"
"expert_lPosTemp_bw","expert_lPosTemp_sbw","2.05275302800731","0.109347996267691","4","0.257893282856918"
"control_rLO_bw","control_rLO_sbw","1.32216053593753","0.218729358700193","9","0.257893282856918"
"expert_rLO_bw","expert_rLO_sbw","1.86516101101913","0.121164511200699","5","0.257893282856918"
"control_V1_bw","control_V1_sbw","0.345706911995048","0.736725342468905","10","0.736725342468905"
"expert_V1_bw","expert_V1_sbw","3.67912544119597","0.0143066367164991","5","0.0715331835824953"
"control_VWFA_bw","control_VWFA_sbw","1.6378472841777","0.129713762313256","11","0.257893282856918"
"expert_VWFA_bw","expert_VWFA_sbw","4.50619084888813","0.00636316129491652","5","0.0636316129491652"
